Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2019,Sulawesi Selatan,Kab. Wajo,26.92,0.75,7.67,1.59,0.30,0.28,18.21
2019,Sulawesi Selatan,Kab. Sidenreng Rappang,87.90,4.20,6.80,3.30,8.40,2.10,8.20
2019,Sulawesi Selatan,Kab. Enrekang,90.00,1.00,13.00,2.00,2.40,1.00,10.00
2019,Sulawesi Selatan,Kab. Luwu Utara,,,,,,,
2019,Sulawesi Selatan,Kab. Luwu Timur,44.80,11.20,22.40,11.20,5.60,5.60,16.80
2019,Sulawesi Selatan,Kota Parepare,31.80,5.70,16.20,8.80,2.80,6.40,1.60
2019,Sulawesi Selatan,Kota Palopo,4.00,0.04,7.00,6.00,0.04,8.00,
2019,Sulawesi Tenggara,Kab. Kolaka,65.00,2.00,13.00,5.00,10.00,1.00,4.00
2019,Sulawesi Tenggara,Kab. Buton,,,,,,,
2019,Sulawesi Tenggara,Kab. Bombana,,0.10,4.00,,2.00,1.00,1.00
2019,Gorontalo,Kab. Gorontalo,4.60,0.40,0.20,0.40,0.80,0.70,0.50
2019,Gorontalo,Kab. Pohuwato,5.80,1.20,3.20,1.30,1.10,0.70,0.50
2019,Gorontalo,Kota Gorontalo,30.00,17.00,10.00,10.00,5.00,2.00,0.00
2019,Sulawesi Barat,Kab. Pasangkayu,,,,,,,
2019,Sulawesi Barat,Kab. Polewali Mandar,109.74,5.31,12.39,8.85,19.47,14.16,7.08
2019,Maluku,Kab. Maluku Tenggara,75.00,5.00,15.00,1.00,1.00,2.00,1.00
2019,Maluku,Kab. Buru Selatan,3.47,0.41,2.50,9.87,1.19,,1.04
2019,Maluku,Kota Ambon,56.16,10.80,43.20,30.24,25.92,7.05,8.64
2019,Maluku Utara,Kab. Halmahera Utara,,,,,,,
2019,Maluku Utara,Kota Ternate,37.70,4.70,10.10,7.70,4.40,3.50,4.20
2019,Maluku Utara,Kota Tidore Kepulauan,36.32,6.36,18.16,13.62,9.08,5.45,1.82
2019,Papua,Kab. Biak Numfor,29.00,3.64,9.75,3.08,3.57,6.62,
2019,Papua,Kota Jayapura,162.10,50.33,24.10,9.10,5.00,2.00,
2019,Papua Selatan,Kab. Asmat,22.00,2.00,4.00,5.00,3.00,2.00,1.00
2019,Papua Barat Daya,Kab. Raja Ampat,0.00,0.00,0.00,0.00,0.60,,
2018,Papua Barat,Kab. Manokwari,121.90,,19.80,4.40,4.12,,
